alias,normalized_name,company_key,relationship_type,management_type,role,designation
عثمان طارق القصبي,عثمان طارق عثمان القصبي,4292-ar,board_member,board_of_directors,غير تنفيذي,أعضاء مجلس الإدارة
عثمان طارق عثمان القصبي,عثمان طارق عثمان القصبي,4292-ar,board_shareholding,,,أعضاء مجلس الإدارة
عثمان طارق عثمان القصبي,عثمان طارق عثمان القصبي,4292-en,board_shareholding,,,Board of Directors
عثمان عبدالله عثمان العثمان,عثمان عبدالله عثمان العثمان,9607-ar,board_member,board_of_directors,غير تنفيذي,رئيس مجلس الإدارة
عثمان عبدالمحسن عثمان العبدالكريم,عثمان عبدالمحسن عثمان العبدالكريم,9538-ar,board_shareholding,,,كبار التنفيذيين
عثمان عبدالمحسن عثمان العبدالكريم,عثمان عبدالمحسن عثمان العبدالكريم,9538-en,board_shareholding,,,Senior Executives
عثمان محمد التويجري,عثمان محمد التويجري,7203-ar,board_member,senior_executive,المدير المالي,كبار التنفيذيين
عثمان محمد عبدالله التويجري,عثمان محمد عبدالله التويجري,7203-ar,board_shareholding,,,كبار التنفيذيين
عثمان محمد عبدالله التويجري,عثمان محمد عبدالله التويجري,7203-en,board_shareholding,,,Senior Executives
عثمان محمد علي بدير,عثمان محمد علي بدير,8160-ar,board_member,board_of_directors,غير تنفيذي,أعضاء مجلس الإدارة
عثمان يوسف القصبي,عثمان يوسف عثمان القصبي,8010-ar,board_member,senior_executive,الرئيس التنفيذي,كبار التنفيذيين
عثمان يوسف عثمان القصبي,عثمان يوسف عثمان القصبي,8010-ar,board_shareholding,,,كبار التنفيذيين
عثمان يوسف عثمان القصبي,عثمان يوسف عثمان القصبي,8010-en,board_shareholding,,,Senior Executives
عجلان بن عبدالعزيز العجلان,عجلان بن عبدالعزيز العجلان,2285-ar,board_member,board_of_directors,غير تنفيذي,رئيس مجلس الإدارة
عدنان بن عبدالرحمن الشبيلي,عدنان بن عبدالرحمن الشبيلي,1182-ar,board_member,senior_executive,الرئيس التنفيذي,كبار التنفيذيين
عدنان بن عبدالرحمن بن عبدالله الشبيلي,عدنان بن عبدالرحمن بن عبدالله الشبيلي,1182-ar,board_shareholding,,,كبار التنفيذيين
عدنان بن عبدالرحمن بن عبدالله الشبيلي,عدنان بن عبدالرحمن بن عبدالله الشبيلي,1182-en,board_shareholding,,,Senior Executives
عدنان حمزه محمد سليمان بوقري,عدنان حمزه محمد سليمان بوقري,8280-ar,substantial_shareholder,,,
عدنان حمزه محمد سليمان بوقري,عدنان حمزه محمد سليمان بوقري,8280-en,substantial_shareholder,,,
عدنان عبدالفتاح محمد صوفي,عدنان عبدالفتاح محمد صوفي,4180-ar,board_shareholding,,,أعضاء مجلس الإدارة
عدنان عبدالفتاح محمد صوفي,عدنان عبدالفتاح محمد صوفي,4180-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
عدنان عبدالفتاح محمد صوفي,عدنان عبدالفتاح محمد صوفي,4180-en,board_shareholding,,,Board of Directors
عدنان عبدالله محمد علي,عدنان عبدالله محمد علي,1834-ar,board_member,senior_executive,المدير المالي,كبار التنفيذيين
عدنان هاني غبريس,عدنان هاني غبريس,2381-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
عزام سعود المديهيم,عزام سعود المديهيم,1214-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
عزام سعود سليمان المديهيم,عزام سعود سليمان المديهيم,1214-ar,board_shareholding,,,أعضاء مجلس الإدارة
عزام سعود سليمان المديهيم,عزام سعود سليمان المديهيم,1214-en,board_shareholding,,,Board of Directors
عزام سعود سليمان المديهيم,عزام سعود سليمان المديهيم,2200-ar,board_member,board_of_directors,غير تنفيذي,أعضاء مجلس الإدارة
عزام سعود سليمان المديهيم,عزام سعود سليمان المديهيم,2200-ar,board_shareholding,,,أعضاء مجلس الإدارة
عزام سعود سليمان المديهيم,عزام سعود سليمان المديهيم,2200-en,board_shareholding,,,Board of Directors
عزام عبدالعزيز عبدالرحمن الزبن,عزام عبدالعزيز عبدالرحمن الزبن,9522-ar,board_member,board_of_directors,نائب الرئيس - مستقل,أعضاء مجلس الإدارة
عزام عمر عبدالرحمن المفدى,عزام عمر عبدالرحمن المفدى,9625-ar,board_member,board_of_directors,غير تنفيذي,أعضاء مجلس الإدارة
عزام عمر عبدالرحمن المفدى,عزام عمر عبدالرحمن المفدى,9625-ar,board_shareholding,,,أعضاء مجلس الإدارة
عزام عمر عبدالرحمن المفدى,عزام عمر عبدالرحمن المفدى,9625-en,board_shareholding,,,Board of Directors
عزام عمر عبدالرحمن المفدى,عزام عمر عبدالرحمن المفدى,9626-ar,board_member,board_of_directors,غير تنفيذي,أعضاء مجلس الإدارة
عزيز بن محمد بن مبارك القحطاني,عزيز بن محمد بن مبارك القحطاني,4007-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
عزيز محمد مبارك القحطاني,عزيز محمد مبارك القحطاني,1321-ar,board_shareholding,,,أعضاء مجلس الإدارة
عزيز محمد مبارك القحطاني,عزيز محمد مبارك القحطاني,1321-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
عزيز محمد مبارك القحطاني,عزيز محمد مبارك القحطاني,1321-en,board_shareholding,,,Board of Directors
عزيز محمد مبارك القحطاني,عزيز محمد مبارك القحطاني,4007-ar,board_shareholding,,,أعضاء مجلس الإدارة
عزيز محمد مبارك القحطاني,عزيز محمد مبارك القحطاني,4007-en,board_shareholding,,,Board of Directors
عزيزه فائز زاهر حنطه,عزيزه فائز زاهر حنطه,9594-ar,substantial_shareholder,,,
عزيزه فائز زاهر حنطه,عزيزه فائز زاهر حنطه,9594-en,substantial_shareholder,,,
عساف عبدالكريم زيد القريشي,عساف عبدالكريم زيد القريشي,4083-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
عشري بن سعد بن مزعل العشري,عشري بن سعد بن مزعل العشري,9532-ar,board_shareholding,,,رئيس مجلس الإدارة
عشري بن سعد بن مزعل العشري,عشري بن سعد بن مزعل العشري,9532-en,board_shareholding,,,Chairman
عشري سعد مزعل العشري,عشري سعد مزعل العشري,9532-ar,board_member,board_of_directors,غير تنفيذي,رئيس مجلس الإدارة
عصام أحمد محمد كلثوم,عصام أحمد محمد كلثوم,4323-ar,board_member,board_of_directors,غير تنفيذي,أعضاء مجلس الإدارة
عصام بن حمد بن سعد الحديبي,عصام بن حمد بن سعد الحديبي,9558-ar,board_shareholding,,,أعضاء مجلس الإدارة
عصام بن حمد بن سعد الحديبي,عصام بن حمد بن سعد الحديبي,9558-en,board_shareholding,,,Board of Directors
عصام حمد سعد الحديبي,عصام حمد سعد الحديبي,9558-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
عصام صالح احمد الذكير,عصام صالح احمد الذكير,2270-ar,board_shareholding,,,أعضاء مجلس الإدارة
عصام صالح احمد الذكير,عصام صالح احمد الذكير,2270-en,board_shareholding,,,Board of Directors
عصام عبد العزيز صالح الصقير,عصام عبدالعزيز صالح الصقير,2320-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
عصام عبدالعزيز صالح الصقير,عصام عبدالعزيز صالح الصقير,2320-ar,board_shareholding,,,أعضاء مجلس الإدارة
عصام عبدالعزيز صالح الصقير,عصام عبدالعزيز صالح الصقير,2320-en,board_shareholding,,,Board of Directors
عصام عبدالله الوقيت,عصام عبدالله الوقيت,7203-ar,board_member,board_of_directors,غير تنفيذي,أعضاء مجلس الإدارة
عصام عثمان يوسف المقيد,عصام عثمان يوسف المقيد,9550-ar,board_shareholding,,,كبار التنفيذيين
عصام عثمان يوسف المقيد,عصام عثمان يوسف المقيد,9550-en,board_shareholding,,,Senior Executives
عصام ماجد المهيدب,عصام ماجد المهيدب,6002-ar,board_member,board_of_directors,غير تنفيذي,أعضاء مجلس الإدارة
علاء الدين محمد سمير شوشة,علاء الدين محمد سمير شوشة,2283-ar,board_member,senior_executive,المدير المالي,كبار التنفيذيين
علاء بن عبدلله الهاشم,علاء بن عبدلله الهاشم,2285-ar,board_member,board_of_directors,نائب الرئيس - غير تنفيذي,أعضاء مجلس الإدارة
علاء دشاش,علاء دشاش,2381-ar,board_member,board_of_directors,غير تنفيذي,أعضاء مجلس الإدارة
علاء عبدالله عبدالكريم الشيخ,علاء عبدالله عبدالكريم الشيخ,1210-ar,board_member,senior_executive,الرئيس التنفيذي,كبار التنفيذيين
علاء عبدالله محمد الهاشم,علاء عبدالله محمد الهاشم,6010-ar,board_shareholding,,,أعضاء مجلس الإدارة
علاء عبدالله محمد الهاشم,علاء عبدالله محمد الهاشم,6010-en,board_shareholding,,,Board of Directors
علوى محمد حسين باروم,علوى محمد حسين باروم,4146-ar,board_shareholding,,,أعضاء مجلس الإدارة
علوى محمد حسين باروم,علوى محمد حسين باروم,4146-en,board_shareholding,,,Board of Directors
علوي بن محمد باروم,علوي بن محمد باروم,4146-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
على مساعد على المبارك,على مساعد على المبارك,9521-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
على مصلح حسن الواقدى,على مصلح حسن الواقدى,4051-ar,board_shareholding,,,أعضاء مجلس الإدارة
على مصلح حسن الواقدى,على مصلح حسن الواقدى,4051-ar,board_shareholding,,,كبار التنفيذيين
على مصلح حسن الواقدى,على مصلح حسن الواقدى,4051-en,board_shareholding,,,Senior Executives
على مصلح حسن الواقدى,على مصلح حسن الواقدى,4051-en,board_shareholding,,,Board of Directors
على يحيي على الجعفري,على يحيي على الجعفري,6060-ar,board_shareholding,,,أعضاء مجلس الإدارة
على يحيي على الجعفري,على يحيي على الجعفري,6060-en,board_shareholding,,,Board of Directors
علي احمد عثمان الذروي,علي احمد عثمان الذروي,2130-ar,board_shareholding,,,أعضاء مجلس الإدارة
علي احمد عثمان الذروي,علي احمد عثمان الذروي,2130-en,board_shareholding,,,Board of Directors
علي احمد علي عوض الله,علي احمد علي عوض الله,2370-ar,board_member,senior_executive,المدير المالي,كبار التنفيذيين
علي احمد منصور,علي احمد منصور,4003-ar,board_shareholding,,,كبار التنفيذيين
علي احمد منصور,علي احمد منصور,4003-en,board_shareholding,,,Senior Executives
علي أحمد منصور,علي أحمد منصور,4003-ar,board_member,senior_executive,الرئيس التنفيذي,كبار التنفيذيين
علي أيوب,علي أيوب,2084-ar,board_member,board_of_directors,غير تنفيذي,أعضاء مجلس الإدارة
علي بن أحمد بن عثمان الذروي,علي بن أحمد بن عثمان الذروي,2130-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
علي بن عبدالرحمن بن عثمان الغامدي,علي بن عبدالرحمن بن عثمان الغامدي,4326-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
علي بن محمد جمعة اللواتي,علي بن محمد جمعة اللواتي,8280-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
علي بن محمدديب عيد,علي بن محمدديب عيد,9527-ar,board_member,board_of_directors,غير تنفيذي,أعضاء مجلس الإدارة
علي بن هادي بن حسن بن هنان آل منصور,علي بن هادي بن حسن بن هنان آل منصور,4260-ar,board_shareholding,,,أعضاء مجلس الإدارة
علي بن هادي بن حسن بن هنان آل منصور,علي بن هادي بن حسن بن هنان آل منصور,4260-en,board_shareholding,,,Board of Directors
علي حسان محمد الجميل,علي حسان محمد الجميل,4270-ar,board_shareholding,,,أعضاء مجلس الإدارة
علي حسان محمد الجميل,علي حسان محمد الجميل,4270-en,board_shareholding,,,Board of Directors
علي حسن الزين,علي حسن الزين,4162-ar,board_member,senior_executive,الرئيس التنفيذي,كبار التنفيذيين
علي حسين برمان اليامي,علي حسين برمان اليامي,3002-ar,board_shareholding,,,أعضاء مجلس الإدارة
علي حسين برمان اليامي,علي حسين برمان اليامي,3002-en,board_shareholding,,,Board of Directors
علي حمد علي الصقري,علي حمد علي الصقري,1830-ar,board_member,board_of_directors,غير تنفيذي,رئيس مجلس الإدارة
علي حمد علي الصقري,علي حمد علي الصقري,1830-ar,board_shareholding,,,رئيس مجلس الإدارة
علي حمد علي الصقري,علي حمد علي الصقري,1830-en,board_shareholding,,,Chairman
علي رياض محمد الحميدان,علي رياض محمد الحميدان,6070-ar,board_member,board_of_directors,غير تنفيذي,أعضاء مجلس الإدارة
علي رياض محمد الحميدان,علي رياض محمد الحميدان,6070-ar,board_shareholding,,,أعضاء مجلس الإدارة
علي رياض محمد الحميدان,علي رياض محمد الحميدان,6070-en,board_shareholding,,,Board of Directors
علي رياض محمد الحميدان,علي رياض محمد الحميدان,9623-ar,board_member,board_of_directors,مستقل,أعضاء مجلس الإدارة
علي رياض محمد الحميدان,علي رياض محمد الحميدان,9623-ar,board_shareholding,,,أعضاء مجلس الإدارة
