alias,normalized_name,company_key,relationship_type,management_type,role,designation
Mustafa Akram Abuqube,Mustafa Akram Abuqube,4220-en,board_member,board_of_directors,Independent,Board of Directors
Mustafa Hussein Abu Qura,Mustafa Hussein Abu Qura,9605-en,board_member,senior_executive,CFO,Senior Executives
Mustafa Muhammad Hassan Ali,Mustafa Muhammad Hassan Ali,9524-en,board_member,board_of_directors,Independent,Board of Directors
Mustafa Muhammad Mustafa Al-Wakeel,Mustafa Muhammad Mustafa Al-Wakeel,9524-en,board_member,senior_executive,CFO,Senior Executives
Muteb Muhammad Saad Alshathri,Muteb Muhammad Saad Alshathri,2382-en,board_member,board_of_directors,Non - Executive,Board of Directors
Muthanna Abdul Rahman Al Raqtan,Muthanna Abdul Rahman Al Raqtan,9553-en,board_member,board_of_directors,Independent,Board of Directors
Mutlaq Mohammed Ibrahim Almutlaq,Mutlaq Mohammed Ibrahim Almutlaq,9585-en,board_member,board_of_directors,Non - Executive,Board of Directors
Nabeel Ahmad Khan,Nabeel Ahmad Khan,4265-en,board_member,senior_executive,Executive,Senior Executives
Nabeel Hassan Mohammed Alameer,Nabeel Hassan Mohammed Alameer,1301-en,board_member,senior_executive,CEO,Senior Executives
Nabeel Hassan Mohammed Alameer,Nabeel Hassan Mohammed Alameer,1301-en,board_member,board_of_directors,Executive,Board of Directors
Nabelah Mohammed M. AlTunisi,Nabelah Mohammed M. AlTunisi,2223-en,board_member,board_of_directors,Independent,Board of Directors
Nabil Ali Shoaib,Nabil Ali Shoaib,8230-en,board_member,board_of_directors,Independent,Board of Directors
Nabil Ben Azzouz,Nabil Ben Azzouz,8040-en,board_member,board_of_directors,Non - Executive,Board of Directors
Nabil Daoud Alhoshan,Nabil Daoud Alhoshan,1820-en,board_member,board_of_directors,Independent,Board of Directors
Nader Hassan Alamri,Nader Hassan Alamri,9610-en,board_member,board_of_directors,Executive,Board of Directors
Nader Hassan Alamri,Nader Hassan Alamri,9610-en,board_member,senior_executive,CEO,Senior Executives
Nader Hassan Atallah Alamri,Nader Hassan Atallah Alamri,9641-en,board_member,board_of_directors,Independent,Board of Directors
Nader Ibrahim Alwehibi,Nader Ibrahim Alwehibi,4162-en,board_member,board_of_directors,Deputy Chairman - Non Executive,Board of Directors
Nader Mohammed Ashoor,Nader Mohammed Ashoor,4031-en,board_member,board_of_directors,Independent,Board of Directors
Nader Mohammed Saleh Ashoor,Nader Mohammed Saleh Ashoor,2190-en,board_member,board_of_directors,Independent,Board of Directors
Nadia Kamal Osman Jamjoom,Nadia Kamal Osman Jamjoom,9649-en,board_member,board_of_directors,Non - Executive,Board of Directors
Nadine Hassan El Habbal,Nadine Hassan El Habbal,8160-en,board_member,board_of_directors,Independent,Board of Directors
Nadir Qureshi,Nadir Qureshi,2281-en,board_member,board_of_directors,Non - Executive,Board of Directors
Naeem Hashim Alshammari,Naeem Hashim Alshammari,8070-en,board_member,senior_executive,CFO,Senior Executives
Nafez Riad Almorhabi,Nafez Riad Almorhabi,2284-en,board_member,board_of_directors,Independent,Board of Directors
Nafez Riad Almorhabi,Nafez Riad Almorhabi,9589-en,board_member,board_of_directors,Deputy Chairman - Independent,Board of Directors
Nagi Sourati,Nagi Sourati,9548-en,board_member,board_of_directors,Independent,Board of Directors
Nagib Maurice Bahous,Nagib Maurice Bahous,8100-en,board_member,board_of_directors,Non - Executive,Board of Directors
Nagy Mohamed Diyaaeldin Hosny,Nagy Mohamed Diyaaeldin Hosny,9517-en,board_member,senior_executive,CFO,Senior Executives
NAIF ABDULAZIZ Hassan ALDEGAITHER,NAIF ABDULAZIZ Hassan ALDEGAITHER,4081-en,board_member,board_of_directors,Independent,Board of Directors
Naif AbdulJalil Ali Al Saif,Naif AbdulJalil Ali Al Saif,4081-en,board_member,board_of_directors,Independent,Board of Directors
Naif Abduljallel Ali Al saif,Naif Abduljallel Ali Al saif,4260-en,board_member,board_of_directors,Independent,Board of Directors
Naif Abdulkareem Al Abdulkareem,Naif Abdulkareem Al Abdulkareem,8012-en,board_member,board_of_directors,Non - Executive,Chairman
Naif Abdullah Al Rajhi,Naif Abdullah Al Rajhi,8230-en,board_member,board_of_directors,Non - Executive,Board of Directors
Naif Abdullah Saad Alsofian,Naif Abdullah Saad Alsofian,4324-en,board_member,board_of_directors,Non - Executive,Board of Directors
NAIF ABDULRAHMAN ALAJLAN,NAIF ABDULRAHMAN ALAJLAN,2285-en,board_member,board_of_directors,Independent,Board of Directors
Naif bin Abdulrahman Abdulaziz AlShaalan,Naif bin Abdulrahman Abdulaziz AlShaalan,9640-en,board_member,board_of_directors,Independent,Board of Directors
Naif bin Ibrahim bin Rashid Al-Rashed Al-Humaid,Naif bin Ibrahim bin Rashid Al-Rashed Al-Humaid,9631-en,board_member,board_of_directors,Non - Executive,Chairman
Naif bin Saleh Abdulaziz Al-Rajhi,Naif bin Saleh Abdulaziz Al-Rajhi,4290-en,board_member,board_of_directors,Deputy Chairman - Non Executive,Board of Directors
Naif Faisal Alsudairy,Naif Faisal Alsudairy,8310-en,board_member,board_of_directors,Non - Executive,Board of Directors
NAIF HADIR ALARIFI,NAIF HADIR ALARIFI,9567-en,board_member,board_of_directors,Independent,Board of Directors
Naif Mesned Al-Mesned,Naif Mesned Al-Mesned,8012-en,board_member,board_of_directors,Non - Executive,Board of Directors
Naif Mohammed Ahmed Al-Theeb,Naif Mohammed Ahmed Al-Theeb,4261-en,board_member,senior_executive,CEO,Senior Executives
Naif Mohammed Ahmed Al-Theeb,Naif Mohammed Ahmed Al-Theeb,4261-en,board_member,board_of_directors,Executive,Board of Directors
Naif Mohammed Altheeb,Naif Mohammed Altheeb,4071-en,board_member,board_of_directors,Non - Executive,Board of Directors
Naif Rashed Alarfaj,Naif Rashed Alarfaj,8180-en,board_member,board_of_directors,Independent,Board of Directors
Naif Saleh Al Rajhi,Naif Saleh Al Rajhi,4080-en,board_member,board_of_directors,Non - Executive,Board of Directors
Naif Saleh Ali Alhamdan,Naif Saleh Ali Alhamdan,4220-en,board_member,board_of_directors,Deputy Chairman - Non Executive,Board of Directors
Naif Saud Ibrahim Al Tareri,Naif Saud Ibrahim Al Tareri,8170-en,board_member,board_of_directors,Non - Executive,Board of Directors
Naif Talal Ibrahim Al-Maiman,Naif Talal Ibrahim Al-Maiman,4082-en,board_member,board_of_directors,Deputy Chairman - Non Executive,Board of Directors
Nair Bayan Muhji Alsulami,Nair Bayan Muhji Alsulami,6012-en,board_member,board_of_directors,Non - Executive,Chairman
NAJEEB HAMAD MUBARAK ALHUMID,NAJEEB HAMAD MUBARAK ALHUMID,9515-en,board_member,board_of_directors,Executive,Board of Directors
Naji Muhammad Ali Al-Gharabli,Naji Muhammad Ali Al-Gharabli,4163-en,board_member,board_of_directors,Independent,Board of Directors
Najib Abdullah Hussein,Najib Abdullah Hussein,3007-en,board_member,board_of_directors,Independent,Board of Directors
Najm Abdullah Al-Zaid,Najm Abdullah Al-Zaid,5110-en,board_member,board_of_directors,Independent,Chairman
NALEEB HAMAD MUBARK ALHUMID,NALEEB HAMAD MUBARK ALHUMID,9515-en,board_member,senior_executive,CEO,Senior Executives
Naser Mashary Abdullah AlFarhoud,Naser Mashary Abdullah AlFarhoud,2130-en,board_member,board_of_directors,Independent,Board of Directors
Nasir Mohammad Nasir Al Omran,Nasir Mohammad Nasir Al Omran,4141-en,board_member,board_of_directors,Non - Executive,Board of Directors
Nasir Sheikh,Nasir Sheikh,8240-en,board_member,senior_executive,CFO,Senior Executives
Nasr Aldin Baba,Nasr Aldin Baba,8311-en,board_member,senior_executive,CEO,Senior Executives
Nasr Aldin Baba,Nasr Aldin Baba,8311-en,board_member,senior_executive,CFO,Senior Executives
NASSER ABDULAZIZ A ABANMI,NASSER ABDULAZIZ A ABANMI,2285-en,board_member,board_of_directors,Non - Executive,Board of Directors
Nasser Abdulaziz Almubarak,Nasser Abdulaziz Almubarak,9600-en,board_member,board_of_directors,Non - Executive,Chairman
Nasser Abdullah Saleh Al-Humaid,Nasser Abdullah Saleh Al-Humaid,9631-en,board_member,board_of_directors,Deputy Chairman - Executive,Board of Directors
Nasser Abdullah Saleh Al-Humaid,Nasser Abdullah Saleh Al-Humaid,9631-en,board_member,senior_executive,CEO,Senior Executives
Nasser AbdullaMouhana AlMoaibed,Nasser AbdullaMouhana AlMoaibed,1210-en,board_member,board_of_directors,Non - Executive,Board of Directors
NASSER ABDULRAHMAN ABDULLAH ALZAMIL,NASSER ABDULRAHMAN ABDULLAH ALZAMIL,9541-en,board_member,board_of_directors,Independent,Board of Directors
Nasser Abdulrahman Nasser Al Rasheed,Nasser Abdulrahman Nasser Al Rasheed,9540-en,board_member,board_of_directors,Independent,Board of Directors
Nasser Albassam,Nasser Albassam,7204-en,board_member,board_of_directors,Non - Executive,Chairman
Nasser bin Abdulaziz AlAgeel,Nasser bin Abdulaziz AlAgeel,4190-en,board_member,board_of_directors,Executive,Board of Directors
Nasser bin Abdulaziz bin Nasser Al-Suhail,Nasser bin Abdulaziz bin Nasser Al-Suhail,9560-en,board_member,board_of_directors,Independent,Board of Directors
Nasser bin Abdulrahman bin Nasser AlMajed,Nasser bin Abdulrahman bin Nasser AlMajed,4326-en,board_member,board_of_directors,Non - Executive,Board of Directors
Nasser bin Khalaf Al-Barak,Nasser bin Khalaf Al-Barak,4170-en,board_member,board_of_directors,Independent,Chairman
Nasser bin Saud bin Shuwait Al-Makaleha Al-Subaie,Nasser bin Saud bin Shuwait Al-Makaleha Al-Subaie,9598-en,board_member,board_of_directors,Independent,Board of Directors
Nasser Dieffullah Alrahili,Nasser Dieffullah Alrahili,8050-en,board_member,board_of_directors,Independent,Board of Directors
Nasser Fadhel Akeel,Nasser Fadhel Akeel,3092-en,board_member,board_of_directors,Non - Executive,Board of Directors
Nasser Farouk AlQawas,Nasser Farouk AlQawas,4031-en,board_member,board_of_directors,Non - Executive,Board of Directors
Nasser Ibrahim Alomaier,Nasser Ibrahim Alomaier,4265-en,board_member,board_of_directors,Executive,Board of Directors
Nasser Ibrahim Mohammed Al Sheikh Al Dosari,Nasser Ibrahim Mohammed Al Sheikh Al Dosari,9548-en,board_member,board_of_directors,Independent,Board of Directors
Nasser Kamel Ibrahim Alfattouh Albalawi,Nasser Kamel Ibrahim Alfattouh Albalawi,4143-en,board_member,board_of_directors,Non - Executive,Board of Directors
Nasser Manahi Mounir Al Baqami,Nasser Manahi Mounir Al Baqami,4072-en,board_member,board_of_directors,Non - Executive,Board of Directors
Nasser Muhammad Al Dueb,Nasser Muhammad Al Dueb,9540-en,board_member,senior_executive,CEO,Senior Executives
Nasser Muhammad Ibrahim Al Dueb,Nasser Muhammad Ibrahim Al Dueb,9540-en,board_member,board_of_directors,Executive,Board of Directors
Nasser Murshid Nasser Al Muneef Al Hajri,Nasser Murshid Nasser Al Muneef Al Hajri,9569-en,board_member,board_of_directors,Deputy Chairman - Non Executive,Board of Directors
Nassir Mohammed Outhman Al-Kasabi,Nassir Mohammed Outhman Al-Kasabi,4082-en,board_member,board_of_directors,Independent,Board of Directors
Nassir Sultan Fahed Alsubaei,Nassir Sultan Fahed Alsubaei,4002-en,board_member,board_of_directors,Deputy Chairman - Executive,Board of Directors
Nassir Sultan Fahed Alsubaei,Nassir Sultan Fahed Alsubaei,4002-en,board_member,senior_executive,CEO,Senior Executives
Nawaf Hamzah Abdullah Bawazir,Nawaf Hamzah Abdullah Bawazir,9594-en,board_member,board_of_directors,Independent,Board of Directors
Nawaf Hisham AlGharabally,Nawaf Hisham AlGharabally,7030-en,board_member,board_of_directors,Non - Executive,Board of Directors
Nawaf Mashari Fahad Alwallan,Nawaf Mashari Fahad Alwallan,9593-en,board_member,senior_executive,CFO,Senior Executives
Nawaf Mohammed Abdullah Al-Kharashi,Nawaf Mohammed Abdullah Al-Kharashi,9575-en,board_member,senior_executive,CEO,Senior Executives
Nawaf Mohammed Abdullah Al-Kharashi,Nawaf Mohammed Abdullah Al-Kharashi,9575-en,board_member,board_of_directors,Executive,Board of Directors
Nawaf Mohammed Bin Adwan,Nawaf Mohammed Bin Adwan,9538-en,board_member,board_of_directors,Non - Executive,Board of Directors
Nawaf Saleh Mohammed Alhumaidhi,Nawaf Saleh Mohammed Alhumaidhi,9650-en,board_member,board_of_directors,Executive,Board of Directors
Nawaf Saleh Mohammed Alhumaidhi,Nawaf Saleh Mohammed Alhumaidhi,9650-en,board_member,senior_executive,CEO,Senior Executives
Nayef Abdul Aziz Abdullah Al-Obaid,Nayef Abdul Aziz Abdullah Al-Obaid,9603-en,board_member,board_of_directors,Non - Executive,Board of Directors
Nayef Bin Awad Bin Awad Allah AlKarshami AlOtaibi,Nayef Bin Awad Bin Awad Allah AlKarshami AlOtaibi,9615-en,board_member,board_of_directors,Non - Executive,Chairman
Nayef bin Muhammad Hassan bin Abdullah Al-Jishi,Nayef bin Muhammad Hassan bin Abdullah Al-Jishi,9546-en,board_member,board_of_directors,Executive,Board of Directors
Nazir bin Muhammad Hassan bin Abdullah Al-Jishi,Nazir bin Muhammad Hassan bin Abdullah Al-Jishi,9546-en,board_member,board_of_directors,Deputy Chairman - Executive,Board of Directors
Nazir bin Muhammad Hassan bin Abdullah Al-Jishi,Nazir bin Muhammad Hassan bin Abdullah Al-Jishi,9546-en,board_member,senior_executive,CEO,Senior Executives
Nemer Nasser Alharbi,Nemer Nasser Alharbi,2180-en,board_member,board_of_directors,Independent,Board of Directors
Nezar Mohammed Sultan Bahabri,Nezar Mohammed Sultan Bahabri,4009-en,board_member,senior_executive,CEO,Senior Executives
Nicola Garelli,Nicola Garelli,8313-en,board_member,senior_executive,CEO,Senior Executives
Nidal Mohammed Rasheed Radwan,Nidal Mohammed Rasheed Radwan,8300-en,board_member,board_of_directors,Independent,Board of Directors
Nikolay Vyacheslav Dmitriev,Nikolay Vyacheslav Dmitriev,8240-en,board_member,board_of_directors,Non - Executive,Board of Directors
Nizar bin Hussein bin Abdullah Banbila,Nizar bin Hussein bin Abdullah Banbila,4327-en,board_member,board_of_directors,Independent,Board of Directors
Noor Ahmed Kather Pasha Sheriff,Noor Ahmed Kather Pasha Sheriff,4015-en,board_member,board_of_directors,Independent,Board of Directors
Noorur Rahman Abid,Noorur Rahman Abid,8280-en,board_member,board_of_directors,Independent,Board of Directors
Nora Tarik Alkadi,Nora Tarik Alkadi,8313-en,board_member,board_of_directors,Independent,Board of Directors
Nowfal Abdallah Trabelsi,Nowfal Abdallah Trabelsi,6014-en,board_member,board_of_directors,Independent,Board of Directors
"Nugali, Sultan Abdulllatif","Nugali, Sultan Abdulllatif",4328-en,board_member,board_of_directors,Independent,Board of Directors
Obada Abdulfattah Awad,Obada Abdulfattah Awad,9642-en,board_member,board_of_directors,Executive,Board of Directors
Obada Abdulfattah Awad,Obada Abdulfattah Awad,9642-en,board_member,senior_executive,CEO,Senior Executives
Obaid Abdullah AlRasheed,Obaid Abdullah AlRasheed,1183-en,board_member,board_of_directors,Deputy Chairman - Non Executive,Board of Directors
Obaid Abdullah Obaid Al-Rasheed,Obaid Abdullah AlRasheed,4013-en,board_member,board_of_directors,Deputy Chairman - Independent,Board of Directors
Obaid Bin Saad Bin Obaid Al-Shareef,Obaid Bin Saad Bin Obaid Al-Shareef,9634-en,board_member,board_of_directors,Non - Executive,Board of Directors
Obaid Saad Obaid Alsobiei,Obaid Saad Obaid Alsobiei,3004-en,board_member,board_of_directors,CEO,Board of Directors
Omar Abdul Rahman Ali Al-Jeraisy,Omar Abdul Rahman Ali Al Jeraisy,4322-en,board_member,board_of_directors,Independent,Board of Directors
Omar Abdul Rahman Ali Al Jeraisy,Omar Abdul Rahman Ali Al Jeraisy,9570-en,board_member,board_of_directors,Non - Executive,Chairman
Omar Abdullah Ibrahim Al-Omar,Omar Abdullah Ibrahim Al-Omar,2283-en,board_member,board_of_directors,Deputy Chairman - Non Executive,Board of Directors
Omar Abdullah Jafri,Omar Abdullah Jafri,4031-en,board_member,board_of_directors,Deputy Chairman - Non Executive,Board of Directors
Omar Abdullah Omar AlKharashi,Omar Abdullah Omar AlKharashi,9552-en,board_member,board_of_directors,Independent,Board of Directors
Omar Al Madhi,Omar Al Madhi,2082-en,board_member,board_of_directors,Non - Executive,Board of Directors
Omar Alhakam AlSaffaf,Omar Alhakam AlSaffaf,8280-en,board_member,board_of_directors,Non - Executive,Board of Directors
Omar AlHusaini,Omar AlHusaini,2381-en,board_member,board_of_directors,Independent,Board of Directors
Omar Ali Abdulrahman AlOlayan,Omar Ali Abdulrahman AlOlayan,4193-en,board_member,senior_executive,CEO,Senior Executives
Omar Ali Abdulrahman AlOlayan,Omar Ali Abdulrahman AlOlayan,4193-en,board_member,board_of_directors,Executive,Board of Directors
Omar Almidani,Omar Almidani,2082-en,board_member,board_of_directors,Non - Executive,Board of Directors
Omar Basheer Alsayed,Omar Basheer Alsayed,8050-en,board_member,board_of_directors,Independent,Board of Directors
Omar Bin Ibrahim Bin Abdullah Alnasser,Omar Bin Ibrahim Bin Abdullah Alnasser,2130-en,board_member,board_of_directors,Independent,Board of Directors
Omar Hamad Muhammad Alhoshan,Omar Hamad Muhammad Alhoshan,9593-en,board_member,board_of_directors,Non - Executive,Board of Directors
Omar Khaled Albelali,Omar Khaled Albelali,2220-en,board_member,board_of_directors,Non - Executive,Board of Directors
Omar Mohammed Hashim,Omar Mohammed Hashim,8300-en,board_member,board_of_directors,Independent,Board of Directors
Omar Mohammed Nabil Al-Midani,Omar Mohammed Nabil Al-Midani,2084-en,board_member,board_of_directors,Deputy Chairman - Non Executive,Board of Directors
Omar Mohammed Saib Abdulqader Al Jaroudi,Omar Mohammed Saib Abdulqader Al Jaroudi,4016-en,board_member,board_of_directors,Independent,Board of Directors
Omar Mounir El Khatib,Omar Mounir El Khatib,9530-en,board_member,board_of_directors,Independent,Board of Directors
Omar Riyad Mohammad AL- humaidan,Omar Riyad Mohammad AL- humaidan,6070-en,board_member,board_of_directors,Non - Executive,Board of Directors
Omar Riyadh Alhumaidan,Omar Riyadh Alhumaidan,2150-en,board_member,board_of_directors,Non - Executive,Chairman
Omar Riyadh Mohammed Alhumaidan,Omar Riyadh Mohammed Alhumaidan,4180-en,board_member,board_of_directors,Non - Executive,Board of Directors
Omar Saleh Mohammed Alhumaidhi,Omar Saleh Mohammed Alhumaidhi,9650-en,board_member,senior_executive,CFO,Senior Executives
Omar Suleiman Al-Ajaji,Omar Suleiman Al-Ajaji,9626-en,board_member,board_of_directors,Non - Executive,Chairman
Omar Suliman I Al Soqair,Omar Suliman I Al Soqair,9619-en,board_member,board_of_directors,Independent,Board of Directors
Omar Talal Jamal Hariri,Omar Talal Jamal Hariri,4263-en,board_member,senior_executive,CEO,Senior Executives
Omar Yousuf Yoldash Khojah,Omar Yousuf Yoldash Khojah,9592-en,board_member,board_of_directors,Non - Executive,Chairman
Omer Abdullah Omer Alnomany,Omer Abdullah Omer Alnomany,7202-en,board_member,senior_executive,CEO,Senior Executives
Omer Abdulrahman Aljeraisy,Omer Abdulrahman Aljeraisy,7211-en,board_member,board_of_directors,Non - Executive,Board of Directors
Omran Abdul Rahman AlRashid,Omran Abdul Rahman AlRashid,4019-en,board_member,board_of_directors,Deputy Chairman - Non Executive,Board of Directors
Omran Abdul Rahman Thunayan Al Obeikan,Omran Abdul Rahman Thunayan Al Obeikan,4145-en,board_member,board_of_directors,Non - Executive,Board of Directors
Omran Abdulrahman Saad Alrashed,Omran Abdulrahman Saad Alrashed,9611-en,board_member,board_of_directors,Deputy Chairman - Non Executive,Board of Directors
Osama Abdulaziz Abdullah Alzamil,Osama Abdulaziz Abdullah Alzamil,9606-en,board_member,board_of_directors,Non - Executive,Board of Directors
Osama Abdullatiff Bashaikh,Osama Abdullatiff Bashaikh,2350-en,board_member,board_of_directors,Independent,Board of Directors
Osama Abdulrahman Al-Shaalan,Osama Abdulrahman Al-Shaalan,9626-en,board_member,board_of_directors,Non - Executive,Board of Directors
Osama Ahmed Suliman Banaja,Osama Ahmed Suliman Banaja,4260-en,board_member,board_of_directors,Non - Executive,Board of Directors
Osama bin Fareej bin Saeed Alowedi,Osama bin Fareej bin Saeed Alowedi,9542-en,board_member,board_of_directors,Independent,Chairman
Osama Kamel Kishk,Osama Kamel Kishk,8250-en,board_member,board_of_directors,Non - Executive,Board of Directors
Osama Mohammed Abdulaziz Alsabeg,Osama Mohammed Abdulaziz Alsabeg,9543-en,board_member,board_of_directors,Non - Executive,Board of Directors
Osama Mohammed Basheer Gargoori,Osama Mohammed Basheer Gargoori,9610-en,board_member,board_of_directors,Non - Executive,Board of Directors
OSAMA SAAD F ALHARBI,OSAMA SAAD F ALHARBI,9632-en,board_member,board_of_directors,Independent,Board of Directors
Osama Saleh Ibrahim Al-Hadithi,Osama Saleh Ibrahim Al-Hadithi,9604-en,board_member,board_of_directors,Independent,Board of Directors
Osama Samir Shafiq Abu Shamleh,Osama Samir Shafiq Abu Shamleh,9617-en,board_member,senior_executive,CFO,Senior Executives
Osamah Michal Matta,Osamah Michal Matta,7030-en,board_member,board_of_directors,Non - Executive,Board of Directors
Osamah Mohammed Shaker,Osamah Mohammed Shaker,8210-en,board_member,board_of_directors,Independent,Board of Directors
Ossama Ahmed Banaja,Ossama Ahmed Banaja,2190-en,board_member,board_of_directors,Independent,Board of Directors
Ossama Banaja,Ossama Banaja,8210-en,board_member,board_of_directors,Independent,Board of Directors
Othman Abdullah Othman Alothman,Othman Abdullah Othman Alothman,9607-en,board_member,board_of_directors,Non - Executive,Chairman
Othman Abdulmohsin Alabdulkareem,Othman Abdulmohsin Alabdulkareem,9538-en,board_member,senior_executive,CEO,Senior Executives
Othman bin Yahya bin Ibrahim Alnajdi,Othman bin Yahya bin Ibrahim Alnajdi,2081-en,board_member,board_of_directors,Non - Executive,Board of Directors
Othman Mohammad Ali Bdeir,Othman Mohammad Ali Bdeir,8160-en,board_member,board_of_directors,Non- Executive,Board of Directors
Othman Mohammed Altuwaijri,Othman Mohammed Altuwaijri,7203-en,board_member,senior_executive,CFO,Senior Executives
Othman Tariq Al-Kasabi,Othman Tariq Al-Kasabi,4292-en,board_member,board_of_directors,Non - Executive,Board of Directors
Othman Yousef AlKassabi,Othman Yousef AlKassabi,8010-en,board_member,senior_executive,CEO,Senior Executives
Ozgur Oncu,Ozgur Oncu,2240-en,board_member,senior_executive,CFO,Senior Executives
Patrick Anthony Charmel,Patrick Anthony Charmel,4018-en,board_member,board_of_directors,Independent,Board of Directors
Paul Adamson,Paul Adamson,8250-en,board_member,board_of_directors,Non - Executive,Board of Directors
Paul Christopher Button,Paul Christopher Button,9583-en,board_member,board_of_directors,Non - Executive,Board of Directors
Paul Schultz,Paul Schultz,8311-en,board_member,board_of_directors,Independent,Board of Directors
Pawan Dhanraj Chindalia,Pawan Dhanraj Chindalia,4220-en,board_member,board_of_directors,Independent,Board of Directors
Penelope Ruth Dudley,Penelope Ruth Dudley,8210-en,board_member,board_of_directors,Non - Executive,Board of Directors
Peter Faerber,Peter Faerber,4147-en,board_member,senior_executive,CEO,Senior Executives
Petros Emmanouil,Petros Emmanouil,9597-en,board_member,senior_executive,CEO,Senior Executives
Philip Antony,Philip Antony,4300-en,board_member,senior_executive,CFO,Senior Executives
Prince Abdulaziz Bin Mohammad Bin Fahad Al-Saud,Prince Abdulaziz Bin Mohammad Bin Fahad Al-Saud,2160-en,board_member,board_of_directors,Deputy Chairman - Non Executive,Board of Directors
Prince Ahmad Bin Khalid Bin Abdullah AL Saud,Prince Ahmad Bin Khalid Bin Abdullah AL Saud,8100-en,board_member,board_of_directors,Non - Executive,Chairman
Prince Dr. Badr Khalid Abdullah Al Saud,Prince Dr. Badr Khalid Abdullah Al Saud,3040-en,board_member,board_of_directors,Independent,Board of Directors
Prince Faisal bin abdulAzziz bin Faisal Al Saud,Prince Faisal bin abdulAzziz bin Faisal Al Saud,2360-en,board_member,board_of_directors,Non - Executive,Chairman
Prince Faisal Bin saad Bin Saud Al Saud,Prince Faisal Bin saad Bin Saud Al Saud,4328-en,board_member,board_of_directors,Non - Executive,Board of Directors
Prince Mansour bin Saad AL Saud,Prince Mansour bin Saad AL Saud,9567-en,board_member,board_of_directors,Deputy Chairman - Independent,Board of Directors
Prince Mansour bin Saad AlSaud,Prince Mansour bin Saad AL Saud,4193-en,board_member,board_of_directors,Independent,Board of Directors
Prince Mohammed bin Abdulrahman bin Abdullah Al Saud,Prince Mohammed bin Abdulrahman bin Abdullah Al Saud,9530-en,board_member,board_of_directors,Non - Executive,Board of Directors
PRINCE NAIF BIN SULTAN M. BIN SAUD ALKABEER,PRINCE NAIF BIN SULTAN M. BIN SAUD ALKABEER,8070-en,board_member,board_of_directors,Non - Executive,Chairman
Prince. Sultan bin Khalid bin Faisal,Prince. Sultan bin Khalid bin Faisal,2082-en,board_member,board_of_directors,Independent,Board of Directors
Raad Abdulaziz Mohamed AL-Abdulqader,Raad Abdulaziz Mohamed AL-Abdulqader,9561-en,board_member,board_of_directors,Non - Executive,Board of Directors
Raad Abdulaziz Mohammed Al-Abdulkader,Raad Abdulaziz Mohammed Al-Abdulkader,4147-en,board_member,board_of_directors,Independent,Board of Directors
Raad Al Saady,Raad Al Saady,2082-en,board_member,board_of_directors,Executive,Board of Directors
Rabih Nahas,Rabih Nahas,1210-en,board_member,senior_executive,CFO,Senior Executives
Rachid Salim Abi Nader,Rachid Salim Abi Nader,8310-en,board_member,board_of_directors,Executive,Board of Directors
Rachid Salim Abi Nader - Managing Director,Rachid Salim Abi Nader - Managing Director,8310-en,board_member,senior_executive,CEO,Senior Executives
Raed Abdulaziz Al-Saqieh,Raed Abdulaziz Al-Saqieh,9618-en,board_member,board_of_directors,Independent,Board of Directors
Raed Abdullah Alhogail,Raed Abdullah Alhogail,4001-en,board_member,board_of_directors,Independent,Board of Directors
Raed Abdullah Alhogail,Raed Abdullah Alhogail,9538-en,board_member,board_of_directors,Independent,Board of Directors
Raed Abdullah bin Ahmed,Raed Abdullah bin Ahmed,4325-en,board_member,board_of_directors,Independent,Board of Directors
Raed Abdullah Ismail,Raed Abdullah Ismail,7203-en,board_member,board_of_directors,Deputy Chairman - Non Executive,Board of Directors
Raed Ibrahaim Suleiman Al-Mudaiheem,Raed Ibrahaim Suleiman Al-Mudaiheem,1302-en,board_member,board_of_directors,Deputy Chairman - Non Executive,Board of Directors
Raed Ibrahim AlMudaiheem,Raed Ibrahim AlMudaiheem,9583-en,board_member,board_of_directors,Independent,Chairman
Raed Ibrahim Suleiman AlModaihim,Raed Ibrahim Suleiman AlModaihim,4142-en,board_member,board_of_directors,Non - Executive,Board of Directors
Raed Ibrahim Suliman  Al Mudaiheem,Raed Ibrahim Suliman  Al Mudaiheem,1304-en,board_member,board_of_directors,Deputy Chairman - Non Executive,Board of Directors
Raed Mohammed Abdulatif AlNaeem,Raed Mohammed Abdulatif AlNaeem,9627-en,board_member,board_of_directors,Independent,Board of Directors
Raed Mubarak Al Mubarak,Raed Mubarak Al Mubarak,9516-en,board_member,senior_executive,CEO,Senior Executives
Raed Nasser Al Rayes,Raed Nasser Al Rayes,5110-en,board_member,board_of_directors,Deputy Chairman - Independent,Board of Directors
Raed Salman Sater,Raed Salman Sater,8300-en,board_member,board_of_directors,Independent,Board of Directors
Raeed Abduallah Dahes Aljalajel,Raeed Abduallah Dahes Aljalajel,9568-en,board_member,board_of_directors,Independent,Board of Directors
Raeed Abdullah AlTamimi,Raeed Abdullah AlTamimi,8200-en,board_member,board_of_directors,Non - Executive,Board of Directors
Raeed Abdullah S. AlTamimi,Raeed Abdullah S. AlTamimi,1120-en,board_member,board_of_directors,Independent,Board of Directors
Rahul Mathur Uday Kumar Mathur,Rahul Mathur Uday Kumar Mathur,6015-en,board_member,senior_executive,CFO,Senior Executives
